72 	 # Number of sensors 
# x z 
0.00 0.00 
2.89 0.79 
5.83 1.39 
8.82 1.72 
11.80 1.44 
14.77 1.87 
17.76 2.10 
20.74 2.45 
23.71 2.90 
26.67 3.37 
29.66 3.57 
32.66 3.70 
35.66 3.88 
38.66 3.97 
41.65 4.11 
44.65 4.25 
47.64 4.03 
50.64 4.07 
53.64 4.11 
56.63 4.38 
59.62 4.59 
62.58 5.09 
65.40 6.10 
68.15 7.30 
71.02 8.19 
73.87 9.12 
76.73 10.04 
79.54 11.08 
82.43 11.87 
84.81 13.70 
87.71 14.47 
90.60 15.27 
93.33 16.51 
96.13 17.58 
98.95 18.62 
101.79 19.58 
104.59 20.67 
107.40 21.71 
110.20 22.79 
113.03 23.79 
115.88 24.72 
118.67 25.83 
121.47 26.91 
124.23 28.07 
126.99 29.25 
129.69 30.56 
132.37 31.91 
135.14 33.07 
138.07 33.72 
140.80 34.96 
143.59 36.05 
146.36 37.21 
149.11 38.41 
151.88 39.56 
154.68 40.64 
157.50 41.66 
160.37 42.53 
163.26 43.34 
164.68 45.98 
167.60 46.68 
170.51 47.38 
173.47 47.90 
176.44 48.32 
179.42 48.65 
182.40 49.02 
185.39 49.29 
188.38 49.50 
191.38 49.63 
194.37 49.78 
197.34 50.21 
200.33 50.46 
203.31 50.80 
636 	 # Number of measurements 
# a b m n u i err
9 18 12 15 3016.417 1.764  0.01
9 15 11 13 3007.246 0.925  0.01
9 12 10 11 2984.460 0.424  0.01
10 46 22 34 492.167 4.215  0.01
10 43 21 32 563.832 4.101  0.01
10 40 20 30 620.637 3.854  0.01
10 37 19 28 866.097 4.339  0.01
10 34 18 26 959.710 3.953  0.01
10 31 17 24 1089.928 3.416  0.01
10 28 16 22 1305.688 3.241  0.01
10 25 15 20 1894.503 3.548  0.01
10 22 14 18 2463.835 2.716  0.01
10 19 13 16 3027.499 1.777  0.01
10 16 12 14 3005.940 0.992  0.01
10 13 11 12 3087.139 0.429  0.01
11 47 23 35 430.229 3.908  0.01
11 44 22 33 555.672 4.280  0.01
11 41 21 31 601.557 3.910  0.01
11 38 20 29 824.568 4.252  0.01
11 35 19 27 993.823 4.144  0.01
11 32 18 25 1079.870 3.502  0.01
11 29 17 23 1601.648 3.691  0.01
11 26 16 21 2141.534 3.897  0.01
11 23 15 19 1682.898 2.063  0.01
11 20 14 17 3017.326 1.836  0.01
11 17 13 15 3045.765 1.016  0.01
11 14 12 13 3090.086 0.472  0.01
12 48 24 36 613.548 5.449  0.01
12 45 23 34 525.002 4.358  0.01
12 42 22 32 646.974 4.292  0.01
12 39 21 30 853.512 4.597  0.01
12 36 20 28 1227.276 5.178  0.01
12 33 19 26 1294.962 4.166  0.01
12 30 18 24 1407.833 3.157  0.01
12 27 17 22 2395.692 3.850  0.01
12 24 16 20 3052.969 3.567  0.01
12 21 15 18 3017.673 1.864  0.01
12 18 14 16 3032.369 0.978  0.01
12 15 13 14 3019.116 0.491  0.01
13 46 24 35 691.701 5.635  0.01
13 43 23 33 750.931 5.441  0.01
13 40 22 31 881.750 5.015  0.01
13 37 21 29 1359.450 5.859  0.01
13 34 20 27 1538.133 5.190  0.01
13 31 19 25 1882.837 4.306  0.01
13 28 18 23 2709.976 4.034  0.01
13 25 17 21 3038.240 3.304  0.01
13 22 16 19 3016.850 1.977  0.01
13 19 15 17 3001.778 1.016  0.01
13 16 14 15 3044.875 0.496  0.01
14 47 25 36 574.024 4.422  0.01
14 44 24 34 686.075 4.962  0.01
14 41 23 32 735.345 4.482  0.01
14 38 22 30 1056.273 4.923  0.01
14 35 21 28 1394.764 4.787  0.01
14 32 20 26 1616.036 3.953  0.01
14 29 19 24 2735.521 4.191  0.01
14 26 18 22 3060.760 3.184  0.01
14 23 17 20 3012.755 2.068  0.01
14 20 16 18 3062.941 1.092  0.01
14 17 15 16 2994.530 0.491  0.01
15 48 26 37 660.602 4.923  0.01
15 45 25 35 570.222 4.025  0.01
15 42 24 33 651.443 3.967  0.01
15 39 23 31 830.315 4.225  0.01
