191 	 # Number of sensors 
# x z 
70 93 0.02330 0.01 
70 95 0.02477 0.01 
70 97 0.02796 0.01 
76 51 0.03360 0.01 
76 53 0.03213 0.01 
76 55 0.02894 0.01 
76 57 0.02723 0.01 
76 59 0.02723 0.01 
76 61 0.02526 0.01 
76 63 0.02428 0.01 
76 65 0.02257 0.01 
76 67 0.02109 0.01 
76 75 0.00687 0.01 
76 76 0.00000 0.01 
76 77 0.00466 0.01 
76 79 0.01202 0.01 
76 81 0.01938 0.01 
76 83 0.02649 0.01 
82 51 0.03802 0.01 
82 53 0.03658 0.01 
82 55 0.03351 0.01 
82 57 0.03091 0.01 
82 59 0.03115 0.01 
82 61 0.02894 0.01 
82 63 0.02772 0.01 
82 69 0.02439 0.01 
82 75 0.02041 0.01 
82 77 0.01962 0.01 
82 79 0.01349 0.01 
82 81 0.00515 0.01 
82 82 0.00000 0.01 
82 83 0.00540 0.01 
82 85 0.01325 0.01 
82 87 0.01499 0.01 
82 89 0.01675 0.01 
82 91 0.01947 0.01 
82 93 0.01887 0.01 
82 95 0.02098 0.01 
82 97 0.02325 0.01 
82 99 0.02475 0.01 
82 101 0.02642 0.01 
82 103 0.02732 0.01 
82 105 0.02943 0.01 
82 107 0.03004 0.01 
82 109 0.03185 0.01 
82 111 0.03140 0.01 
82 113 0.03155 0.01 
82 115 0.02943 0.01 
82 117 0.03034 0.01 
82 119 0.03245 0.01 
82 121 0.03291 0.01 
82 123 0.03155 0.01 
82 125 0.03230 0.01 
82 127 0.03291 0.01 
82 129 0.03532 0.01 
82 131 0.03743 0.01 
82 133 0.03683 0.01 
88 51 0.03238 0.01 
88 53 0.03213 0.01 
88 55 0.02894 0.01 
88 57 0.02772 0.01 
88 59 0.02723 0.01 
88 61 0.02526 0.01 
88 63 0.02330 0.01 
88 65 0.02257 0.01 
88 69 0.02060 0.01 
88 71 0.01815 0.01 
88 87 0.00513 0.01 
88 88 0.00000 0.01 
88 89 0.00498 0.01 
88 91 0.01011 0.01 
88 93 0.01072 0.01 
88 95 0.01358 0.01 
88 97 0.01584 0.01 
88 103 0.01992 0.01 
88 105 0.02128 0.01 
88 107 0.02158 0.01 
88 109 0.02415 0.01 
88 117 0.02264 0.01 
88 119 0.02370 0.01 
88 121 0.02521 0.01 
88 123 0.02460 0.01 
88 125 0.02460 0.01 
88 127 0.02566 0.01 
94 51 0.03900 0.01 
94 53 0.03777 0.01 
94 55 0.03557 0.01 
94 57 0.03262 0.01 
94 59 0.03262 0.01 
94 61 0.03115 0.01 
94 63 0.02943 0.01 
94 65 0.02847 0.01 
94 67 0.02786 0.01 
94 69 0.02695 0.01 
94 71 0.02382 0.01 
