48 	 # Number of sensors 
# x z 
0.00 0.00 
6.14 -1.80 
11.07 -3.56 
14.38 -5.55 
19.65 -6.44 
24.92 -7.32 
29.15 -7.44 
33.29 -8.13 
38.46 -9.94 
43.43 -12.61 
48.43 -11.31 
53.31 -10.72 
58.13 -11.84 
62.53 -12.56 
67.51 -13.56 
72.15 -14.69 
78.37 -15.63 
83.02 -17.11 
89.01 -19.40 
92.82 -20.07 
97.33 -22.38 
102.55 -22.97 
107.04 -21.50 
112.21 -20.42 
117.62 -21.66 
123.03 -22.90 
126.98 -25.09 
130.82 -24.90 
134.66 -24.70 
139.14 -24.35 
143.62 -23.99 
148.87 -26.20 
153.37 -27.59 
157.83 -28.47 
162.30 -29.36 
168.19 -27.40 
173.10 -28.47 
178.73 -28.85 
183.38 -30.10 
188.38 -30.92 
193.19 -32.74 
199.23 -36.44 
203.78 -37.66 
208.28 -39.83 
212.81 -43.19 
217.74 -46.39 
222.74 -49.58 
227.63 -51.51 
301 	 # Number of measurements 
# a b m n u i err
11 20 14 17 29.297 0.029  0.01
11 17 13 15 19.801 0.019  0.01
11 14 12 13 18.495 0.016  0.01
12 48 24 36 18.644 0.067  0.01
12 45 23 34 19.252 0.064  0.01
12 42 22 32 26.059 0.072  0.01
12 39 21 30 38.834 0.074  0.01
12 36 20 28 31.268 0.049  0.01
12 33 19 26 15.993 0.024  0.01
12 30 18 24 20.863 0.025  0.01
12 27 17 22 47.544 0.059  0.01
12 24 16 20 43.907 0.054  0.01
12 21 15 18 40.652 0.057  0.01
12 18 14 16 29.532 0.029  0.01
12 15 13 14 35.102 0.040  0.01
13 46 24 35 20.746 0.062  0.01
13 40 22 31 34.459 0.073  0.01
13 37 21 29 38.252 0.062  0.01
13 34 20 27 41.814 0.067  0.01
13 31 19 25 42.462 0.062  0.01
13 28 18 23 46.539 0.062  0.01
13 25 17 21 32.015 0.045  0.01
13 22 16 19 43.567 0.057  0.01
13 19 15 17 29.240 0.032  0.01
13 16 14 15 74.851 0.059  0.01
14 47 25 36 20.242 0.072  0.01
14 44 24 34 16.591 0.048  0.01
14 41 23 32 15.001 0.033  0.01
14 38 22 30 14.502 0.025  0.01
14 35 21 28 234.237 0.348  0.01
14 32 20 26 16.705 0.021  0.01
14 29 19 24 27.520 0.040  0.01
14 26 18 22 223.861 0.262  0.01
14 23 17 20 30.826 0.038  0.01
14 20 16 18 31.262 0.045  0.01
15 48 26 37 19.023 0.062  0.01
15 45 25 35 16.995 0.049  0.01
15 42 24 33 12.064 0.025  0.01
15 36 22 29 29.643 0.046  0.01
15 33 21 27 102.612 0.151  0.01
15 30 20 25 18.422 0.024  0.01
15 27 19 23 37.921 0.048  0.01
15 21 17 19 47.417 0.054  0.01
15 18 16 17 33.547 0.024  0.01
16 46 26 36 40.031 0.122  0.01
16 43 25 34 27.056 0.074  0.01
16 40 24 32 44.486 0.087  0.01
16 37 23 30 43.197 0.076  0.01
16 34 22 28 148.168 0.222  0.01
16 28 20 24 623.728 0.966  0.01
17 41 25 33 32.349 0.064  0.01
17 38 24 31 39.063 0.067  0.01
17 35 23 29 55.862 0.083  0.01
17 32 22 27 18.164 0.025  0.01
17 29 21 25 48.909 0.064  0.01
17 26 20 23 318.781 0.446  0.01
17 23 19 21 38.748 0.052  0.01
17 20 18 19 457.655 0.424  0.01
18 48 28 38 20.194 0.062  0.01
18 42 26 34 17.045 0.038  0.01
18 39 25 32 20.081 0.035  0.01
18 36 24 30 19.220 0.029  0.01
18 30 22 26 16.120 0.024  0.01
18 24 20 22 21.089 0.024  0.01
18 21 19 20 34.049 0.029  0.01
19 40 26 33 17.910 0.029  0.01
19 37 25 31 21.315 0.033  0.01
19 34 24 29 29.389 0.037  0.01
19 31 23 27 16.158 0.019  0.01
19 25 21 23 22.917 0.021  0.01
19 22 20 21 18.288 0.035  0.01
20 47 29 38 86.985 0.248  0.01
20 41 27 34 146.866 0.257  0.01
20 38 26 32 51.684 0.086  0.01
20 35 25 30 69.699 0.095  0.01
20 32 24 28 146.346 0.176  0.01
20 29 23 26 242.062 0.360  0.01
20 26 22 24 261.565 0.415  0.01
20 23 21 22 481.983 0.386  0.01
21 39 27 33 61.450 0.093  0.01
21 36 26 31 35.976 0.056  0.01
21 33 25 29 29.866 0.037  0.01
21 30 24 27 20.402 0.029  0.01
21 27 23 25 50.548 0.067  0.01
22 46 30 38 36.999 0.094  0.01
22 43 29 36 26.604 0.057  0.01
22 40 28 34 44.603 0.072  0.01
22 37 27 32 41.723 0.059  0.01
22 34 26 30 63.801 0.079  0.01
22 31 25 28 64.578 0.074  0.01
22 28 24 26 61.145 0.074  0.01
22 25 23 24 43.593 0.051  0.01
23 47 31 39 16.794 0.038  0.01
23 44 30 37 26.183 0.062  0.01
23 41 29 35 23.562 0.038  0.01
23 38 28 33 34.453 0.049  0.01
23 35 27 31 40.070 0.054  0.01
23 32 26 29 20.978 0.024  0.01
23 29 25 27 31.662 0.045  0.01
23 26 24 25 45.427 0.045  0.01
24 48 32 40 26.468 0.067  0.01
24 45 31 38 239.935 0.505  0.01
24 36 28 32 39.180 0.060  0.01
24 33 27 30 32.342 0.035  0.01
24 30 26 28 18.346 0.021  0.01
24 27 25 26 63.375 0.060  0.01
25 46 32 39 79.403 0.162  0.01
25 40 30 35 44.522 0.064  0.01
25 37 29 33 33.706 0.045  0.01
25 34 28 31 35.165 0.051  0.01
25 31 27 29 48.240 0.045  0.01
25 28 26 27 34.876 0.045  0.01
26 47 33 40 19.328 0.043  0.01
26 44 32 38 39.225 0.074  0.01
26 41 31 36 33.884 0.045  0.01
26 38 30 34 40.395 0.060  0.01
26 35 29 32 51.417 0.074  0.01
26 32 28 30 24.672 0.025  0.01
26 29 27 28 78.659 0.062  0.01
27 48 34 41 59.614 0.134  0.01
27 45 33 39 55.781 0.110  0.01
27 42 32 37 50.265 0.079  0.01
27 39 31 35 79.627 0.100  0.01
27 36 30 33 45.819 0.064  0.01
27 33 29 31 22.345 0.038  0.01
27 30 28 29 22.440 0.029  0.01
28 46 34 40 36.844 0.065  0.01
28 43 33 38 33.086 0.051  0.01
28 40 32 36 52.481 0.059  0.01
28 37 31 34 59.157 0.064  0.01
28 34 30 32 42.222 0.065  0.01
28 31 29 30 59.598 0.057  0.01
29 47 35 41 13.631 0.024  0.01
29 44 34 39 38.462 0.059  0.01
29 41 33 37 131.030 0.176  0.01
29 35 31 33 81.473 0.083  0.01
30 48 36 42 17.494 0.032  0.01
30 45 35 40 18.333 0.030  0.01
30 39 33 36 30.578 0.033  0.01
30 36 32 34 26.703 0.025  0.01
30 33 31 32 45.548 0.041  0.01
31 37 33 35 64.993 0.079  0.01
31 34 32 33 63.982 0.067  0.01
32 47 37 42 144.754 0.250  0.01
32 35 33 34 28.251 0.033  0.01
33 48 38 43 24.497 0.041  0.01
33 39 35 37 41.215 0.045  0.01
33 36 34 35 144.744 0.136  0.01
34 46 38 42 463.801 0.772  0.01
34 37 35 36 90.227 0.095  0.01
35 47 39 43 31.153 0.051  0.01
35 44 38 41 302.840 0.517  0.01
35 41 37 39 247.021 0.260  0.01
36 45 39 42 47.236 0.072  0.01
36 39 37 38 92.817 0.086  0.01
37 46 40 43 52.338 0.068  0.01
37 43 39 41 280.319 0.484  0.01
37 40 38 39 492.793 0.541  0.01
38 44 40 42 551.759 0.679  0.01
38 41 39 40 197.831 0.255  0.01
39 48 42 45 108.563 0.216  0.01
39 45 41 43 135.904 0.162  0.01
39 42 40 41 91.464 0.095  0.01
40 46 42 44 327.287 0.539  0.01
40 43 41 42 242.978 0.260  0.01
41 44 42 43 45.083 0.054  0.01
43 46 44 45 264.411 0.618  0.01
