49 	 # Number of sensors 
# x z 
0.00 -0.98 
1.88 -0.69 
3.75 -0.34 
5.82 0.00 
7.72 -0.02 
9.72 -0.10 
11.71 -0.17 
13.78 -0.54 
15.78 -0.47 
17.78 -0.35 
19.77 -0.19 
21.66 -0.34 
23.76 -0.33 
25.74 -0.63 
27.74 -0.71 
29.73 -0.55 
31.56 -1.07 
33.84 -0.75 
35.83 -0.91 
37.93 -0.94 
39.93 -1.01 
41.92 -0.84 
43.82 -0.93 
45.82 -1.05 
47.92 -1.03 
49.97 -1.49 
51.87 -1.49 
53.96 -1.39 
56.36 -1.49 
57.93 -1.19 
59.86 -1.73 
61.96 -1.63 
64.05 -1.84 
66.03 -2.08 
68.13 -2.25 
69.71 -2.45 
71.91 -2.50 
74.20 -2.70 
76.10 -2.67 
78.20 -2.71 
80.29 -2.50 
82.47 -2.79 
84.07 -2.86 
85.77 -2.92 
88.15 -2.57 
90.05 -2.54 
91.92 -2.84 
94.18 -2.39 
96.04 -2.74 
349 	 # Number of measurements 
# a b m n u i err
17 29 21 25 25.80 1.00 0.01
18 30 22 26 28.64 1.00 0.01
19 31 23 27 31.41 1.00 0.01
20 32 24 28 34.11 1.00 0.01
22 34 26 30 2.95 0.10 0.01
23 35 27 31 2.77 0.10 0.01
24 36 28 32 2.97 0.10 0.01
26 38 30 34 34.07 1.00 0.01
27 39 31 35 40.32 1.00 0.01
28 40 32 36 37.96 1.00 0.01
30 42 34 38 34.43 1.00 0.01
31 43 35 39 33.31 1.00 0.01
32 44 36 40 37.36 1.00 0.01
34 46 38 42 4.12 0.10 0.01
35 47 39 43 4.01 0.10 0.01
36 48 40 44 3.52 0.10 0.01
37 49 41 45 4.00 0.10 0.01
1 16 6 11 16.79 1.00 0.01
2 17 7 12 18.16 1.00 0.01
3 18 8 13 17.69 1.00 0.01
4 19 9 14 18.55 1.00 0.01
5 20 10 15 18.75 1.00 0.01
6 21 11 16 19.35 1.00 0.01
7 22 12 17 17.97 1.00 0.01
8 23 13 18 20.20 1.00 0.01
9 24 14 19 17.46 1.00 0.01
10 25 15 20 21.41 1.00 0.01
11 26 16 21 20.75 1.00 0.01
12 27 17 22 21.75 1.00 0.01
13 28 18 23 21.17 1.00 0.01
14 29 19 24 22.86 1.00 0.01
15 30 20 25 22.60 1.00 0.01
16 31 21 26 24.59 1.00 0.01
17 32 22 27 24.62 1.00 0.01
19 34 24 29 2.57 0.10 0.01
20 35 25 30 2.56 0.10 0.01
21 36 26 31 2.45 0.10 0.01
22 37 27 32 2.41 0.10 0.01
24 39 29 34 28.43 1.00 0.01
25 40 30 35 29.94 1.00 0.01
26 41 31 36 30.73 1.00 0.01
27 42 32 37 31.63 1.00 0.01
29 44 34 39 30.65 1.00 0.01
30 45 35 40 30.34 1.00 0.01
31 46 36 41 31.61 1.00 0.01
32 47 37 42 32.04 1.00 0.01
34 49 39 44 3.07 0.10 0.01
