143 	 # Number of sensors 
# x z 
0.00 0.00 
1.45 0.40 
2.89 0.79 
4.36 1.09 
5.83 1.39 
7.33 1.55 
8.82 1.72 
10.31 1.58 
11.80 1.44 
13.29 1.66 
14.77 1.87 
16.27 1.99 
17.76 2.10 
19.25 2.28 
20.74 2.45 
22.23 2.67 
23.71 2.90 
25.19 3.13 
26.67 3.37 
28.16 3.47 
29.66 3.57 
31.16 3.63 
32.66 3.70 
34.16 3.79 
35.66 3.88 
37.16 3.92 
38.66 3.97 
40.16 4.04 
41.65 4.11 
43.15 4.18 
44.65 4.25 
46.14 4.14 
47.64 4.03 
49.14 4.05 
50.64 4.07 
52.14 4.09 
53.64 4.11 
55.14 4.25 
56.63 4.38 
58.12 4.48 
59.62 4.59 
61.10 4.84 
62.58 5.09 
63.99 5.59 
65.40 6.10 
66.78 6.70 
68.15 7.30 
69.59 7.74 
71.02 8.19 
72.44 8.65 
73.87 9.12 
75.30 9.58 
76.73 10.04 
78.14 10.56 
79.54 11.08 
80.99 11.47 
82.43 11.87 
83.62 12.79 
84.81 13.70 
86.26 14.09 
87.71 14.47 
89.16 14.87 
90.60 15.27 
91.97 15.89 
93.33 16.51 
94.73 17.05 
96.13 17.58 
97.54 18.10 
98.95 18.62 
100.37 19.10 
101.79 19.58 
103.19 20.12 
104.59 20.67 
106.00 21.19 
107.40 21.71 
108.80 22.25 
110.20 22.79 
111.62 23.29 
113.03 23.79 
114.45 24.25 
115.88 24.72 
117.28 25.27 
118.67 25.83 
120.07 26.37 
121.47 26.91 
122.85 27.49 
124.23 28.07 
125.61 28.66 
126.99 29.25 
128.34 29.91 
129.69 30.56 
131.03 31.23 
132.37 31.91 
133.75 32.49 
135.14 33.07 
136.60 33.39 
138.07 33.72 
139.44 34.34 
140.80 34.96 
142.19 35.50 
143.59 36.05 
144.98 36.63 
146.36 37.21 
147.74 37.81 
149.11 38.41 
150.50 38.98 
151.88 39.56 
153.28 40.10 
154.68 40.64 
156.09 41.15 
157.50 41.66 
158.94 42.09 
160.37 42.53 
161.81 42.94 
163.26 43.34 
163.97 44.66 
164.68 45.98 
166.14 46.33 
167.60 46.68 
169.06 47.03 
170.51 47.38 
171.99 47.64 
173.47 47.90 
174.95 48.11 
176.44 48.32 
177.93 48.48 
179.42 48.65 
180.91 48.84 
182.40 49.02 
183.89 49.16 
185.39 49.29 
186.88 49.39 
188.38 49.50 
189.88 49.56 
191.38 49.63 
192.88 49.70 
194.37 49.78 
195.86 50.00 
197.34 50.21 
198.84 50.34 
200.33 50.46 
201.82 50.63 
203.31 50.80 
606 	 # Number of measurements 
# s g t err
8 8 0.00000 0.01
8 9 0.00567 0.01
8 11 0.02415 0.01
8 13 0.02837 0.01
8 15 0.03015 0.01
8 17 0.03372 0.01
8 19 0.03501 0.01
8 21 0.03631 0.01
