52 	 # Number of sensors 
# x z 
-1.90 -1.27 
-0.95 -1.13 
0.00 -0.98 
0.94 -0.84 
1.88 -0.69 
2.81 -0.52 
3.75 -0.34 
4.78 -0.17 
5.82 0.00 
6.77 -0.01 
7.72 -0.02 
8.72 -0.06 
9.72 -0.10 
10.72 -0.14 
11.71 -0.17 
12.75 -0.36 
13.78 -0.54 
14.78 -0.51 
15.78 -0.47 
16.78 -0.41 
17.78 -0.35 
18.77 -0.27 
19.77 -0.19 
20.72 -0.27 
21.66 -0.34 
22.71 -0.34 
23.76 -0.33 
24.75 -0.48 
25.74 -0.63 
26.74 -0.67 
27.74 -0.71 
28.74 -0.63 
29.73 -0.55 
30.65 -0.81 
31.56 -1.07 
32.70 -0.91 
33.84 -0.75 
34.84 -0.83 
35.83 -0.91 
36.88 -0.93 
37.93 -0.94 
38.93 -0.98 
39.93 -1.01 
40.93 -0.93 
41.92 -0.84 
42.87 -0.89 
43.82 -0.93 
44.82 -0.99 
45.82 -1.05 
46.87 -1.04 
47.92 -1.03 
48.94 -1.26 
620 	 # Number of measurements 
# s g t err
18 11 0.00882 0.005
18 15 0.00323 0.005
18 17 0.00189 0.005
18 18 0.00000 0.005
18 19 0.00252 0.005
18 21 0.00378 0.005
18 23 0.00520 0.005
18 25 0.00575 0.005
18 27 0.01201 0.005
18 29 0.01098 0.005
18 31 0.01253 0.005
18 33 0.01167 0.005
18 35 0.01579 0.005
18 37 0.01733 0.005
18 39 0.01750 0.005
18 41 0.01784 0.005
18 43 0.01767 0.005
18 45 0.01699 0.005
18 47 0.01939 0.005
18 49 0.01819 0.005
20 3 0.01184 0.005
20 5 0.01184 0.005
20 7 0.01098 0.005
20 9 0.01064 0.005
20 11 0.01064 0.005
20 13 0.00858 0.005
20 15 0.00686 0.005
20 17 0.00532 0.005
20 19 0.00240 0.005
20 20 0.00000 0.005
20 21 0.00189 0.005
20 23 0.00618 0.005
20 25 0.00892 0.005
20 27 0.01029 0.005
20 29 0.00824 0.005
20 31 0.01081 0.005
20 33 0.01047 0.005
20 35 0.01287 0.005
20 37 0.01493 0.005
20 39 0.01613 0.005
20 41 0.01682 0.005
20 43 0.01613 0.005
20 45 0.01647 0.005
20 47 0.01853 0.005
20 49 0.01819 0.005
22 3 0.01414 0.005
22 5 0.01422 0.005
22 7 0.01352 0.005
22 9 0.01326 0.005
22 11 0.01282 0.005
22 13 0.01098 0.005
22 15 0.00927 0.005
22 17 0.00909 0.005
22 19 0.00806 0.005
22 21 0.00255 0.005
22 22 0.00000 0.005
22 23 0.00343 0.005
22 25 0.00721 0.005
22 27 0.00824 0.005
22 29 0.00686 0.005
22 31 0.00957 0.005
22 33 0.00904 0.005
22 35 0.01080 0.005
22 37 0.01343 0.005
22 39 0.01475 0.005
22 41 0.01510 0.005
22 43 0.01466 0.005
22 45 0.01510 0.005
22 47 0.01642 0.005
22 49 0.01651 0.005
24 3 0.01493 0.005
24 5 0.01355 0.005
24 7 0.01355 0.005
24 9 0.01167 0.005
24 11 0.01218 0.005
24 13 0.01150 0.005
24 15 0.01064 0.005
24 17 0.00944 0.005
24 19 0.00978 0.005
24 21 0.00669 0.005
24 23 0.00154 0.005
24 24 0.00000 0.005
24 25 0.00223 0.005
24 27 0.00532 0.005
24 29 0.00515 0.005
24 31 0.00618 0.005
24 33 0.00721 0.005
24 35 0.01081 0.005
24 37 0.01115 0.005
24 39 0.01270 0.005
24 41 0.01304 0.005
24 43 0.01115 0.005
24 45 0.01235 0.005
24 47 0.01355 0.005
24 49 0.01390 0.005
26 3 0.01516 0.005
26 5 0.01464 0.005
26 7 0.01412 0.005
26 9 0.01394 0.005
26 11 0.01359 0.005
26 13 0.01185 0.005
26 15 0.01107 0.005
26 17 0.01124 0.005
26 19 0.01019 0.005
26 21 0.00810 0.005
26 23 0.00349 0.005
26 25 0.00070 0.005
26 26 0.00000 0.005
26 27 0.00148 0.005
26 29 0.00314 0.005
26 31 0.00549 0.005
26 33 0.00775 0.005
26 35 0.00889 0.005
26 37 0.01089 0.005
26 39 0.01246 0.005
26 41 0.01316 0.005
26 43 0.01255 0.005
26 45 0.01333 0.005
26 47 0.01473 0.005
26 49 0.01507 0.005
28 3 0.01167 0.005
28 5 0.01098 0.005
28 7 0.01064 0.005
28 9 0.01047 0.005
28 11 0.01012 0.005
28 13 0.00789 0.005
28 15 0.00721 0.005
28 17 0.00686 0.005
28 19 0.00721 0.005
28 21 0.00498 0.005
28 23 0.00343 0.005
28 25 0.00206 0.005
28 27 0.00069 0.005
28 28 0.00000 0.005
28 29 0.00051 0.005
28 31 0.00189 0.005
